robot_id,iteration,position,target,sigma_est,grad_est,grad_z,grad_sigma_z,local_cost
5,63,"[0.8297411476335148, 0.8722247914105321]","[0.7504645765974756, 0.7929782198838581]","[0.5259350521275814, 0.5572037325388971]","[0.7190719572325309, 0.7077696256645508]","[0.7054041139827586, 0.725531049022291]","[-0.6076121910118668, -0.63004211774327]",0.18494756389321426
5,64,"[0.8283030037190497, 0.870809252159203]","[0.7504645765974756, 0.7929782198838581]","[0.5263258392234907, 0.5567136279162296]","[0.7131838492231971, 0.7043919492339066]","[0.6992357503351546, 0.7210341881880421]","[-0.603954328991118, -0.6281912484859469]",0.18297813246263137
5,65,"[0.8268766360206034, 0.8694004682607352]","[0.7504645765974756, 0.7929782198838581]","[0.5267189305890227, 0.5562376735852631]","[0.7073268232376483, 0.7009919541008641]","[0.6931079886231006, 0.7165375271696042]","[-0.6003154108631612, -0.6263255893509443]",0.18102818856127384
5,66,"[0.825461982374128, 0.8679984843525336]","[0.7504645765974756, 0.7929782198838581]","[0.5271141757980063, 0.5557753724901613]","[0.7015009601926738, 0.6975705768616718]","[0.6870208633903241, 0.7120421302896212]","[-0.5966956131522434, -0.6244462237247446]",0.17909786769700362
5,67,"[0.8240589804537427, 0.8666033431988103]","[0.7504645765974756, 0.7929782198838581]","[0.5275114301147589, 0.5553262476325646]","[0.6957063444684076, 0.6941287512807922]","[0.6809743983227052, 0.7075490186491467]","[-0.5930951006779677, -0.6225541911324914]",0.17718728691469005
5,68,"[0.8226675677648059, 0.8652150856962487]","[0.7504645765974756, 0.7929782198838581]","[0.5279105542887973, 0.5548898410861046]","[0.689943062774085, 0.6906674076521613]","[0.6749686065914761, 0.7030591719230407]","[-0.5895140269520172, -0.6206504892202882]",0.1752965457079844
5,69,"[0.8212876816392577, 0.8638337508809444]","[0.7504645765974756, 0.7929782198838581]","[0.5283114143545108, 0.5544657130725901]","[0.6842112031429834, 0.687187472107456]","[0.6690034911961087, 0.6985735300492104]","[-0.5859525345694938, -0.6187360756167086]",0.17342572688918367
5,70,"[0.8199192592329717, 0.8624593759367295]","[0.7504645765974756, 0.7929782198838581]","[0.5287138814361833, 0.5540534410947884]","[0.6785108540426588, 0.6836898658909634]","[0.6630790453052116, 0.6940929948212369]","[-0.5824107555935769, -0.6168118696838822]",0.1715748974195927
5,71,"[0.8185622375248864, 0.8610919962049476]","[0.7504645765974756, 0.7929782198838581]","[0.5291178315586512, 0.5536526191212721]","[0.6728421035881643, 0.6801755046173168]","[0.6571952525940452, 0.689618431392795]","[-0.5788888119324704, -0.614878754167351]",0.16974410920257477
5,72,"[0.8172165533177101, 0.859731645195713]","[0.7504645765974756, 0.7929782198838581]","[0.5295231454637823, 0.5532628568192622]","[0.6672050388473205, 0.6766452975254993]","[0.6513520875775393, 0.6851506697013212]","[-0.5753868157078557, -0.6129375767529015]",0.16793339984130676
5,73,"[0.8158821432400155, 0.858378354600662]","[0.7504645765974756, 0.7929782198838581]","[0.5299297084328877, 0.5528837788318166]","[0.661599745228336, 0.6731001467400519]","[0.64554951593791, 0.6806905058175297]","[-0.5719048696142557, -0.6109891515376908]",0.16614279336308765
5,74,"[0.8145589437495588, 0.8570321543071819]","[0.7504645765974756, 0.7929782198838581]","[0.5303374101151177, 0.5525150240960695]","[0.6560263059411625, 0.6695409465483169]","[0.6397874948461606, 0.6762387032266503]","[-0.5684430672688823, -0.609034260422225]",0.16437230091190638
5,75,"[0.8132468911376766, 0.8556930724140853]","[0.7504645765974756, 0.7929782198838581]","[0.5307461443618376, 0.552156245199548]","[0.6504848015249212, 0.6659685827007412]","[0.634065973276912, 0.6717959940466217]","[-0.5650014935516778, -0.6070736544290747]",0.16262192141085
5,76,"[0.8119459215346267, 0.8543611352486838]","[0.7504645765974756, 0.7929782198838581]","[0.5311558090669407, 0.5518071077718677]","[0.6449753094345841, 0.6623839317397338]","[0.6283848923161373, 0.6673630801879206]","[-0.5615802249353721, -0.6051080549536323]",0.1608916421958183
5,77,"[0.8106559709157576, 0.8530363673852044]","[0.7504645765974756, 0.7929782198838581]","[0.5315663060130221, 0.5514672899093592]","[0.6394979036808393, 0.658787860361269]","[0.6227441854614879, 0.6629406344592139]","[-0.5581793298054709, -0.6031381549516903]",0.1591814396219105
5,78,"[0.8093769751083959, 0.8517187916644818]","[0.7504645765974756, 0.7929782198838581]","[0.5319775407233099, 0.5511364816303955]","[0.6340526545177257, 0.6551812248123281]","[0.6171437789149954, 0.6585293016226029]","[-0.5547988687701719, -0.6011646200681726]",0.15749127964375795
5,79,"[0.8081088697993605, 0.8504084292148572]","[0.7504645765974756, 0.7929782198838581]","[0.5323894223192301, 0.550814384359384]","[0.6286396281732105, 0.651564870326347]","[0.6115835918680044, 0.6541296994018498]","[-0.5514388949602607, -0.5991880897109463]",0.15582111837099769
